GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
01/25/2016,4558,4.278630978499342
01/25/2017,4051,4.239200197482103
01/25/2018,4051,4.253517649962972
01/26/2016,4253,4.270867622854456
01/26/2017,4054,4.331771090281204
01/26/2018,4262,4.2595025809479115
01/27/2016,3966,4.252647503782148
01/27/2017,3878,4.2612171222279525
01/27/2018,4091,4.241750183329259
01/28/2016,4039,4.239910869026986
01/28/2017,3872,4.216942148760331
01/28/2018,3851,4.218125162295507
01/29/2016,4068,4.240904621435595
01/29/2017,3523,4.189043428895827
01/29/2018,4177,4.299497246827867
01/30/2016,3753,4.208100186517453
01/30/2017,3981,4.219542828435067
01/30/2018,4227,4.343979181452567
01/31/2016,3663,4.182637182637182
01/31/2017,3702,4.25472717450027
01/31/2018,4129,4.300557035601841
02/01/2016,4124,4.246362754607177
02/01/2017,3932,4.2438962360122074
02/01/2018,4274,4.227187646233037
02/02/2016,4077,4.253863134657837
02/02/2017,3879,4.248259860788863
02/02/2018,4345,4.245339470655926
02/03/2016,3904,4.248975409836065
02/03/2017,3990,4.276691729323308
02/03/2018,4028,4.249006951340616
02/04/2016,4027,4.262478271666253
02/04/2017,3744,4.208867521367521
02/04/2018,4063,4.181885306423824
02/05/2016,4007,4.23733466433741
02/05/2017,3773,4.2682215743440235
02/05/2018,4553,4.215901603338458
02/06/2016,3798,4.231700895208005
02/06/2017,4153,4.3168793643149534
02/06/2018,4286,4.318712085860943
02/07/2016,3539,4.156541395874541
02/07/2017,4009,4.2644050885507605
02/07/2018,4165,4.263865546218487
02/08/2016,3769,4.213319182807111
02/08/2017,4315,4.215063731170336
02/08/2018,4405,4.261293984108967
02/09/2016,3846,4.22646905876235
02/09/2017,3368,4.298396674584323
02/09/2018,4434,4.2686062246278755
02/10/2016,3921,4.288191787809232
02/10/2017,4122,4.3432799611838915
02/10/2018,4264,4.164399624765478
02/11/2016,3848,4.228690228690229
02/11/2017,4015,4.259028642590287
02/11/2018,4049,4.192640158063719
02/12/2016,3872,4.229338842975206
02/12/2017,3590,4.213091922005571
02/12/2018,4521,4.257243972572439
02/13/2016,3622,4.197680839315296
02/13/2017,4058,4.313701330704781
02/13/2018,4414,4.2951971001359315
02/14/2016,3443,4.185884403136799
02/14/2017,4025,4.275776397515528
02/14/2018,4448,4.237634892086331
02/15/2016,3785,4.2100396301188905
02/15/2017,4112,4.298151750972763
02/15/2018,4558,4.270732777534006
02/16/2016,4161,4.2028358567652
02/16/2017,3707,4.243862961963853
02/16/2018,4455,4.279012345679012
02/17/2016,3813,4.295567794387622
02/17/2017,3893,4.243000256871308
02/17/2018,3976,4.331237424547283
02/18/2016,3777,4.278792692613185
02/18/2017,3834,4.228482003129891
02/18/2018,3777,4.311887741593858
02/19/2016,3801,4.184951328597737
02/19/2017,3834,4.246739697443923
02/19/2018,3765,4.2629482071713145
02/20/2016,3912,4.167433537832311
02/20/2017,3663,4.253071253071253
